number,value,datetime_start,datetime_complete,duration,params_aux_max_features,params_aux_min_df,params_aux_ngram_high,params_colsample_bytree,params_gamma,params_gen_pos_weight_mult,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_neg_weight_mult,params_readme_max_features,params_readme_min_df,params_readme_ngram_high,params_real_pos_weight_mult,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_actual_w_generated_pos,user_attrs_actual_w_neg,user_attrs_actual_w_real_pos,user_attrs_text_mode,user_attrs_val_ap,user_attrs_val_best_threshold,user_attrs_val_f1,user_attrs_val_precision,user_attrs_val_recall,state
85,0.6000423431283403,2026-04-12 21:15:22.007285,2026-04-12 21:15:34.558857,0 days 00:00:12.551572,200,1,2,0.6783062026510747,2.063628397896099,0.6696217153910992,0.014697464224122386,0.7413532527289797,2,10,900,1.4392929198184201,400,3,1,1.2268305767028775,0.00021898651717982935,0.018436804454765136,0.7444575897271788,0.8370271442388739,1.4392929198184201,3.6804917301086326,dual_text,0.6074720436719483,0.7133941650390625,0.7272727272727273,0.96,0.5853658536585366,COMPLETE
86,0.6010333435054366,2026-04-12 21:15:34.559195,2026-04-12 21:15:47.861448,0 days 00:00:13.302253,200,1,2,0.7045593659293761,2.5713728667408815,0.6446189863995002,0.03350354276821932,1.8383109219116918,2,9,1100,1.3690426412987373,350,3,1,1.9200288893468616,1.0173578574792941e-05,0.10970086215096729,0.7794089662754429,0.8057737329993753,1.3690426412987373,5.760086668040585,dual_text,0.6405053895751596,0.7124711275100708,0.7272727272727273,0.96,0.5853658536585366,COMPLETE
87,0.6345051716003499,2026-04-12 21:15:47.861783,2026-04-12 21:16:05.550186,0 days 00:00:17.688403,200,3,2,0.6320128555044005,1.8348466597025312,0.7109790937484087,0.013408779888620638,0.6778019903501644,5,8,1200,1.4201051474053579,450,4,2,1.8307027617716152,0.0003632342561317387,0.07625258717859464,0.8317151356122833,0.8887238671855109,1.4201051474053579,5.4921082853148455,dual_text,0.6373518738578177,0.8020234107971191,0.7384615384615385,1.0,0.5853658536585366,COMPLETE
88,0.6347159132909946,2026-04-12 21:16:05.550413,2026-04-12 21:16:20.074952,0 days 00:00:14.524539,150,1,2,0.6123272934080861,1.6015837875027628,0.5215334932442507,0.024255574398951207,0.7778388046932535,2,9,900,1.1044325161805084,400,3,2,1.2548314549097732,0.0005910940694885238,1.9434831028600807,0.7646626226242301,0.6519168665553133,1.1044325161805084,3.7644943647293196,dual_text,0.6443765968793078,0.7360345125198364,0.7384615384615385,1.0,0.5853658536585366,COMPLETE
89,0.6002529047590582,2026-04-12 21:16:20.075217,2026-04-12 21:16:35.653428,0 days 00:00:15.578211,100,1,2,0.6161111456772591,1.5179848540590863,0.5210570341095678,0.024436030468585366,0.7661735677652391,2,9,1000,1.0186881917995734,400,3,2,1.2736190345108567,0.0006202097200187712,1.1407114446563336,0.6964852775647562,0.6513212926369598,1.0186881917995734,3.8208571035325702,dual_text,0.6144907646958828,0.6811043620109558,0.7272727272727273,0.96,0.5853658536585366,COMPLETE
90,0.5664976247859861,2026-04-12 21:16:35.653659,2026-04-12 21:16:51.961011,0 days 00:00:16.307352,150,1,2,0.6508497233105106,1.1164023328771249,0.5390317564064524,0.021624065339514727,0.8243763319697459,3,10,1300,1.0930406887204422,350,3,2,1.26734521332617,4.739993542719486e-05,1.9458693805737743,0.7614806254436527,0.6737896955080656,1.0930406887204422,3.8020356399785102,dual_text,0.5747964480900906,0.6225355267524719,0.7164179104477612,0.9230769230769231,0.5853658536585366,COMPLETE
91,0.5995336188472293,2026-04-12 21:16:51.961381,2026-04-12 21:17:07.226482,0 days 00:00:15.265101,150,1,2,0.6868382663269496,1.6125960654912799,0.566965601060435,0.02815135352357336,0.6395070472414018,2,9,900,1.0307301397098665,400,2,2,1.3135689863187676,0.0001977799294809162,1.41423299922783,0.730718717312764,0.7087070013255438,1.0307301397098665,3.940706958956303,dual_text,0.5905145676349167,0.7026700973510742,0.7272727272727273,0.96,0.5853658536585366,COMPLETE
92,0.5671504332782867,2026-04-12 21:17:07.226887,2026-04-12 21:17:21.675577,0 days 00:00:14.448690,200,1,2,0.7179465165087388,2.2567691893172657,0.6044431451281409,0.03813774572117942,0.9448458442138626,2,8,800,1.1981201512762436,600,3,2,1.2004210782596396,2.911177894636315,3.2330052340695046,0.799562565030258,0.7555539314101761,1.1981201512762436,3.601263234778919,dual_text,0.596556731166779,0.6748782396316528,0.7164179104477612,0.9230769230769231,0.5853658536585366,COMPLETE
93,0.6345752097177428,2026-04-12 21:17:21.675802,2026-04-12 21:17:37.606844,0 days 00:00:15.931042,150,1,2,0.6602593421065295,2.416879174810458,0.807558785992394,0.01152213011590754,1.7200623984365102,2,9,800,1.1169964088982145,450,3,2,1.351067918255196,0.1616273745390454,4.698104424823719,0.7888183277775751,1.0094484824904923,1.1169964088982145,4.053203754765588,dual_text,0.6396864777709156,0.7856346964836121,0.7384615384615385,1.0,0.5853658536585366,COMPLETE
94,0.6345321130268604,2026-04-12 21:17:37.607078,2026-04-12 21:17:51.877729,0 days 00:00:14.270651,150,1,2,0.6079123192813285,2.047847571215538,0.8624498956595841,0.03151271389269278,0.5087305260232209,2,9,700,1.0601060141003393,450,3,2,1.4035844930001957,0.1590255802933846,0.9471250941065734,0.788072969504563,1.07806236957448,1.0601060141003393,4.210753479000587,dual_text,0.6382499214081682,0.8159875869750977,0.7384615384615385,1.0,0.5853658536585366,COMPLETE
